"R0000100","R0214700","R0214800","R0618200","R0618300","R0618301"
793,3,1,81,75,61347
794,3,1,99,99,100000
795,3,1,47,47,49078
796,3,1,95,91,94119
797,3,1,73,58,68375
798,3,2,23,29,35662
799,3,1,37,29,34051
800,3,1,28,32,32078
801,3,2,32,30,25324
802,3,1,21,22,17362
803,3,2,71,76,78000
804,3,2,23,28,40982
805,3,2,28,27,21206
806,3,1,18,13,13465
807,3,1,69,71,76332
808,3,2,54,54,66992
809,3,1,96,97,90819
810,3,2,93,89,91719
811,3,2,66,67,63642
812,3,2,83,82,86990
813,3,1,94,92,85915
814,3,2,36,29,19541
815,3,1,55,70,66540
816,3,2,43,39,39343
817,3,1,65,66,81325
818,3,1,33,29,35569
819,3,1,23,22,21881
820,3,2,51,45,49039
821,3,2,97,99,99180
822,3,1,-4,-4,-4
823,3,1,30,27,24129
824,3,2,86,95,95645
825,3,1,93,89,89264
826,3,1,46,52,60734
827,3,1,93,89,92042
828,3,2,16,16,16956
829,3,2,55,50,38888
830,2,2,25,30,29680
831,2,2,7,7,5648
832,2,1,23,28,38997
833,2,1,10,6,3311
834,2,2,18,12,13045
835,2,2,25,19,25338
836,1,2,41,35,34921
837,2,1,20,28,25129
838,1,1,8,6,13781
839,2,2,6,7,4208
840,2,2,1,1,324
841,3,2,71,61,57519
842,3,2,17,19,24168
843,3,2,33,32,34453
844,3,1,18,27,36845
845,3,2,17,19,20860
846,3,2,17,19,32623
847,2,1,36,31,22976
848,3,2,29,30,32304
849,3,2,33,35,36881
850,3,1,78,84,82620
851,3,1,59,61,55782
852,3,2,26,29,28681
853,3,1,91,99,98417
854,3,2,44,44,50954
855,3,2,77,75,61777
856,3,2,71,79,83737
857,3,2,41,37,47207
858,3,2,12,10,11710
859,3,1,22,27,23250
860,3,1,64,68,69283
861,3,2,39,43,49173
862,3,2,48,52,41383
863,3,1,49,35,38088
864,3,1,41,36,32786
865,3,1,71,64,58337
866,3,2,18,22,27315
867,3,2,57,55,69101
868,3,1,86,90,91600
869,3,2,42,59,72213
870,3,1,7,7,9505
871,3,1,51,56,70262
872,3,1,76,80,71872
873,3,1,70,75,80046
874,3,1,84,90,94976
875,3,2,32,33,25657
876,3,2,88,89,79208
877,3,1,-4,-4,-4
878,3,2,48,58,68575
879,3,2,55,61,79765
880,3,2,-4,-4,-4
881,3,1,81,80,80898
882,3,1,59,56,64498
883,3,2,57,56,75516
884,3,2,99,97,98089
885,3,1,91,85,81330
886,3,2,76,89,92741
887,3,2,42,51,56311
888,3,1,26,29,21826
889,3,2,49,52,45056
890,3,1,91,90,82756
891,3,1,60,53,42935
892,3,2,63,45,49165
893,3,2,47,41,45436
894,3,2,-4,-4,-4
895,3,2,89,85,86610
896,3,2,99,99,98804
897,3,2,85,84,82852
898,3,2,71,74,79576
899,3,1,93,86,83208
900,3,2,79,73,72257
901,3,2,69,64,73871
902,3,1,76,73,82490
903,3,1,-4,-4,-4
904,3,2,29,34,46394
905,3,2,56,47,51552
906,3,2,89,89,93511
907,3,1,75,95,93432
908,3,1,67,73,82465
909,3,2,40,48,61363
910,2,1,88,84,81839
911,2,1,22,27,36254
912,3,2,96,94,91404
913,3,1,84,86,93464
914,1,2,80,73,75363
915,1,2,85,88,92122
916,3,1,84,88,82189
917,3,1,29,29,25522
918,3,2,37,40,47309
919,3,1,37,42,39872
920,3,1,89,87,86877
921,3,1,8,7,7983
922,3,1,60,54,55885
923,3,2,21,27,29364
924,3,1,85,76,83946
925,3,1,89,87,78852
926,3,2,69,72,73214
927,3,1,96,91,97423
928,3,2,43,44,45999
929,3,1,56,56,75258
930,1,2,6,9,16307
931,3,1,70,69,71323
932,3,2,22,24,26769
933,3,1,52,53,58258
934,3,1,-4,-4,-5
935,3,2,40,40,34620
936,3,2,53,54,58404
937,3,1,75,73,84974
938,3,1,23,23,21712
939,3,2,21,18,17528
940,3,2,72,53,57979
941,3,1,44,53,44224
942,3,2,49,51,55978
943,3,2,36,29,20661
944,3,1,99,99,97299
945,3,1,47,52,51523
946,3,1,72,75,84064
947,3,1,91,86,77263
948,3,1,24,21,18274
949,3,2,40,53,64067
950,3,2,76,84,91630
951,3,1,30,39,52109
952,3,2,53,52,63710
953,3,2,75,73,70212
954,3,2,77,78,83581
955,3,1,62,54,45546
956,3,1,48,38,55543
957,3,1,21,22,26602
958,3,1,62,45,41439
959,3,1,91,95,96442
960,3,1,83,87,88979
961,3,1,81,84,88914
962,3,2,57,62,67250
963,3,2,38,48,51978
964,3,2,25,20,28308
965,3,1,21,15,10950
966,3,2,14,16,18824
967,3,2,11,12,17834
968,3,1,46,43,43365
969,3,2,59,52,44379
970,3,1,59,55,57553
971,3,2,47,50,53275
972,3,2,45,46,57315
973,3,1,60,61,65073
974,3,2,58,69,66668
975,3,2,-4,-4,-4
976,3,2,79,81,62466
977,3,1,86,76,90864
978,3,2,31,26,20867
979,3,2,50,38,41411
980,3,1,45,43,40748
981,3,2,28,22,21246
982,3,2,39,39,55097
983,3,1,-4,-4,-4
984,3,1,41,41,37731
985,3,1,65,59,52705
986,2,2,37,39,51322
987,3,1,89,93,86122
988,2,2,8,6,5508
989,3,2,83,71,67749
990,3,1,64,66,60136
991,3,2,34,36,38234
992,3,2,30,29,24577
993,3,1,82,91,90719
994,3,1,34,47,51447
995,3,2,81,76,83931
996,3,1,28,28,30891
997,3,1,47,58,78723
998,3,2,94,91,92133
999,3,2,55,55,67602
1000,2,1,73,64,67877
1001,2,2,12,11,16807
1002,2,1,5,5,5271
1003,3,1,52,53,61145
1004,3,2,24,22,27973
1005,3,2,30,27,33605
1006,3,2,68,77,71039
1007,3,1,67,61,47450
1008,3,2,46,39,33430
1009,3,2,16,19,19686
1010,3,1,65,80,88408
1011,3,1,35,27,34339
1012,3,1,6,4,15678
1013,3,1,70,82,91199
1014,3,1,98,94,94207
1015,3,2,59,74,85366
1016,3,2,41,42,28497
1017,3,2,63,71,73243
1018,3,2,44,42,47362
1019,3,2,98,98,100000
1020,3,2,99,99,98236
1021,3,1,41,49,59376
1022,3,2,12,6,4049
1023,3,1,90,93,92319
1024,3,2,71,76,77471
1025,2,2,-4,-4,-5
1026,3,1,-4,-4,-5
1027,2,1,11,10,12661
1028,2,1,3,4,4672
1029,2,2,17,17,26365
1030,2,2,14,13,13143
1031,2,2,6,4,6324
1032,2,1,1,1,49
1033,2,2,7,5,8101
1034,2,2,12,8,12727
1035,3,2,17,26,37759
1036,3,2,-4,-4,-4
1037,3,2,42,40,40617
1038,3,2,40,56,64065
1039,3,2,59,71,71230
1040,3,2,62,61,55277
1041,3,2,-4,-4,-4
1042,3,1,34,32,28954
1043,3,1,1,4,3732
1044,3,1,5,4,4871
1045,3,1,60,65,65206
1046,3,1,53,55,70337
1047,3,2,21,26,22497
1048,3,2,8,8,3156
1049,3,2,77,79,84635
